Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology
-0.001946923,0.030052952619905822,0.03577717144573033,0.0011403818869640016,-0.014386764,-0.000575629,-0.000950435,0.11422759223709181,0.0023478098470156978
-0.010813192,0.032396661630563255,0.024697476603923345,0.021954346195172093,0.01015109836658211,-0.000198166,-0.001144426,0.10037115320086835,0.005332829831157574
-0.005958624,0.01545662506060334,0.019807723550659972,0.03597226115769545,-0.026900161,-0.000353805,-0.003705367,-0.099859279,-0.005619763
0.003428140838404204,0.0047420516756306675,0.008505662438690166,0.07089572197566495,0.030002280162297956,5.495590149931032e-05,-0.003205308,-0.158860055,0.003562771130281538
0.007658734416960869,-0.102453561,-0.02719811,-0.026036317,-0.029075463,0.004746199926576066,-0.002428456,0.04292196241744585,0.009277153920100234
-0.008197612,-0.028667857,0.0009881297503474215,-0.018387438,0.08268538047785913,-0.000404872,-0.003766134,-0.1586263,0.0005524949685134055
0.007839858079999675,0.03376346639310352,-0.039265607,0.01735114045620162,-0.019081084,-6.31E-05,-0.002338324,0.15750237823395377,0.0019648542684283232
0.014956437225015681,-0.073338024,-0.000428951,-0.035586388,-0.016444949,-0.001186476,-0.003312794,-0.053681481,-0.000622282
0.006785218654160169,0.01793909099779312,0.015778527212089298,-0.022505874,-0.033476773,-0.000717438,-0.004909978,-0.238053548,0.00108033510429868
0.010477069202222444,-0.09056025,0.015791849374086578,-0.023265051,-0.015785291,0.002361134279001275,-0.001621992,0.19484843568049315,0.004437607769271137
0.00794728912609256,0.0209177565053722,0.021872163745688046,0.03120778508532533,-0.030434705,-0.000633481,-0.003599572,-0.085310632,-0.003929641
-0.009821959,-0.014222485,0.01565155970249863,0.01018146466836782,-0.03087815,-0.000576414,-0.004318276,-0.116350574,0.0038673937383297626
-0.01465255,0.0385880155688046,0.02867844046634976,-0.01309741,-0.018826229,-0.0001536,-0.001007478,0.1711355856054133,0.011568349518981157
-0.004654952,0.026725232978946127,0.008499135667648674,-0.004356418,-0.024139266,-0.000389224,-0.005145955,-0.173911508,0.0009676608388333365
-0.003079267,-0.083575972,-0.014069116,-0.011523141,-0.028369927,-0.000494497,-0.004606538,-0.072109395,0.00537426594145465
0.0008430301280541136,0.015938911055265417,0.009093043986629658,-0.025123984,-0.035441674,-0.000716869,-0.004940662,-0.212126252,-0.00081431
0.0002933974493531737,0.03792318113386747,-0.010913887,0.04201711144408326,-0.025493862,-0.000492953,0.05187396476876581,-0.161961578,-0.001476325
-0.015865122,-0.073437365,0.02210112509230127,0.002740930316456937,-0.017351386,-0.000533781,-0.001378668,0.11187647019203971,0.002489310690969731
0.000412054777042005,0.012637229614796812,0.033467410036349426,0.03835462248128392,0.04677726757706884,5.5082539774842796e-05,0.01869059496045787,0.013254824361604396,7.109795751773908e-05
-0.010240383,0.0401687633992195,-0.005386226,0.02646901906121203,0.02073124618783567,-6.03E-05,-0.000819523,0.09862038961886721,0.005039425837515395
-0.001577997,0.02530690592650131,0.01173597471354141,-0.018971869,-0.034713032,-0.000951374,-0.004734565,-0.24767725,0.0010001127567932804
-0.011874753,0.02589942828394775,-0.012684586,0.03446750434769474,0.005020004308964654,-0.000126535,-0.001212644,0.12597859541483206,0.006698927652394093
-0.010764157,-0.007621977,-0.087106475,-0.027032982,-0.023582153,-0.000406661,-0.001111576,0.09569652686241083,-0.00095422
0.00931859397388743,0.024903758812387704,0.005645894707429368,0.0021133029764545787,-0.024807823,-0.000715424,-0.005531873,-0.190332427,0.002784313241943315
0.007114051080967283,-0.078955803,0.036648163597043905,-0.014316876,0.060363420079419715,-0.002798006,0.010660572159973214,0.13665020780690998,0.014292707898495738
0.0021908589265997795,0.026963349097169895,0.011156605766536822,-0.004288382,-0.023801955,4.692931977257623e-05,-0.002049452,0.023640146231558582,-0.000392988
-0.002293908,-0.019816415,-0.028506679,-0.042128555,-0.033807605,-0.000584022,-0.005871936,-0.124036494,-5.10E-05
0.010366736375456143,-0.001636488,0.033334088691019205,0.042643128307721115,-0.014528506,-7.84E-05,0.010281676891295624,0.11322013387177307,0.012688160967737847
0.0045156897930552255,0.03482990234284763,0.03504927543683797,-0.002782792,-0.017474301,-0.00046008,0.010552082942535075,0.12263802523703744,0.001426548801192128
-0.000348389,-0.003027884,0.01905819815607914,-0.039125149,0.07480066166324226,-8.37E-05,-0.004144043,-0.17446257,-0.001746259
0.0060862909809030735,0.025407961878902166,0.012558116388884584,0.0012091953826256073,-0.024908232,-0.000410849,-0.004900633,-0.180263012,0.0005480043853846248
0.011722162816730552,0.015126806689321374,0.03833207695167011,-0.003589556,0.03695777619208548,0.00013059701285826614,-0.001049613,0.07754588880389265,0.0032546781219119276
-0.004866862,0.03974728639731492,0.03571099032349324,-0.006697208,-0.01603061,-0.000432047,-0.001461132,0.08449386778440236,0.004161861486980284
0.015743985166328637,-0.067889575,0.03491904532696385,-0.000627047,0.07082271835490626,-0.001464081,0.011124206111432477,0.08104310242464018,0.017875925055061383
-0.005564523,0.007022045244916509,0.024627992495183788,0.00465262385050469,-0.030367967,-0.000486754,-0.005144353,-0.185441163,-0.001643948
-0.012999488,0.009901041437299944,0.03268575335177188,0.035978613274080494,0.0379490454450622,-0.000397567,0.005594050436284883,0.09434983967738134,0.0001107342155744036
0.019583969198500327,0.03345546483181644,0.03417795010571357,0.0010433760872424133,-0.015013193,0.00025842883575680046,-0.001877689,0.034868187692980696,0.0036899849475714114
0.01078464961889339,0.01191974392917277,0.024135879527680926,0.0036865456811456623,0.042456670706948085,0.0002874447422198575,-0.00229099,-0.047345796,0.007316497561231239
0.017501786031831404,0.03609298312865939,0.029871074753023207,0.03148606318316438,-0.010723884,0.00038341166584990105,-0.001835029,0.03937571657296423,0.004807862776111399
-0.012658655,0.027363838431042647,0.03260280513655806,0.021146110859288955,0.02639788707269446,-0.001640149,0.00962966933006682,0.134645525466149,0.006903693910264453
-0.015134687,0.02828962336642091,0.0336631523534753,-0.001591902,-0.018751476,-0.000660362,-0.00094577,0.12056526332078689,-0.002354858
0.004940142737717548,0.025206162554725155,0.03356809330925657,-0.025615768,-0.019738707,-0.000246555,-0.001186251,0.17657490015532468,0.010946954765470427
-0.00281331,-0.05440004,0.007667543088438682,0.042178984008413835,-0.029766674,-0.000364678,-0.004335463,-0.184453265,-0.00228339
0.0035364640321245934,0.030908744793537814,0.0062106046147526696,-0.023412057,-0.018374355,-0.000652492,-0.005100704,-0.215282205,0.0010668464597705517
0.006060422795126142,0.029709644673742798,-0.02182588,0.001313147296732288,-0.029873285,-0.000378005,-0.005466698,-0.134289485,-1.16E-05
0.0053716203956138174,-0.009570156,-0.018694637,-0.040623464,-0.016302894,-0.000765868,-0.005013615,-0.148145557,-9.61E-05
0.0039195759025557105,0.02921626610884536,0.037678507993857996,-0.000497222,-0.016435937,-0.00236945,-0.001187887,0.14082796507698597,0.00010797348048491106
0.0019703106900248357,0.016796056974464773,-0.221998603,0.0028401323941749552,0.024081273939142892,-0.00028463,0.012780289780863766,0.07060326264216031,0.0025219598348757604
-0.004413503,0.04293057981022375,-0.072022105,-0.011624424,-0.019423325,-0.00027332,-0.001463265,0.10296201066979231,0.0014599975137453269
0.004713736972451847,0.02561309879526444,0.0018996295933246862,-0.003652335,-0.016292217,-0.000972959,-0.001115669,0.1391785438952872,0.002677937128314208
-0.002606184,0.03152365576360995,0.01057495175528791,0.012995134281712575,-0.014832329,-0.00373446,-0.001797455,0.15880419479904515,0.003013297985932434
-0.001433592,0.02973994346558717,0.03627671287831148,0.02070942068622684,0.03941329432568005,-0.00030742,-0.001067221,0.12447999002325412,0.006101940021124837
0.0016008161726030945,-0.000426125,0.016520342863902453,-0.034563858,0.04249667551815547,-0.000285812,-0.004032098,-0.185760354,-0.000295101
0.005460734958146446,0.026591429051095836,0.01650514418980661,-0.020346507,-0.021494766,-0.000571414,-0.004313673,-0.215805906,0.0005314378349414494
0.006294708860405168,0.03094337198930844,0.009175995623722105,-0.029264474,-0.017941593,-0.000531665,-0.005069714,-0.221179928,0.0027720770797907343
-0.005835236,0.015835918768284107,0.033740267670974246,0.03995928434922627,0.03536180692166287,-0.00032736,-0.000185788,0.12844388166443746,0.0003650290227057371
-0.009004462,0.03940115990959027,-0.048421621,-0.018981647,-0.019694726,5.7263087051253444e-05,-0.001222624,0.18232792772808618,0.007120724864537355
0.018820715223242093,-0.005548053,-0.084270869,-0.02712301,-0.021871444,-0.000396712,-0.001062126,0.09525954376894424,-0.000595493
0.011254628141658422,0.01939716562395915,-0.100763051,0.03276179995111633,-0.007152828,-5.18E-05,-0.001348659,0.1119681111785101,0.010833520704031919
-0.003859478,0.023414129381052654,0.01926059012394698,0.04051854000935587,-0.023035609,-0.00032434,0.034647556672505395,-0.170206404,-0.003621513
-0.008551596,0.02010119174519367,-0.137024986,0.02482890594713258,-0.005188895,0.0038416475465401713,-0.002626343,0.038294747091910754,-0.037553842
-0.013317399,0.02356862507003431,0.03365384965227302,0.024225094459760184,-0.015571084,-0.000342989,-0.001414447,0.15146459089901984,0.0028861053354036392
0.0056780039747654385,0.03575515429116516,-0.024943157,0.00045291869698599156,-0.031512529,-0.00059333,-0.005995114,-0.165351522,0.0020898255745777534
-0.010420443,0.022256744614540913,-0.062684499,0.01651323915014846,-0.01164933,0.0009403141877901272,0.01719496137707083,0.11672996007560778,0.007656839677583095
0.0035038785117830424,0.032253938230460154,-0.051692772,-0.017164229,-0.025577532,-0.00083481,-0.005793245,-0.172041959,0.0017480085933018862
-0.005919864,0.019396205601980826,-0.001846259,-0.001061722,-0.029615434,-0.000487664,-0.005338643,-0.129162093,-0.001388845
-0.001937261,-0.106445737,-0.01792009,-0.02889374,-0.028984783,-0.000689308,0.054290454616947044,-0.171127442,0.0024851784096776596
0.0009811744330479732,-0.005624895,0.007203279350853186,-0.034657087,-0.03755883,-0.000697157,-0.00534319,-0.21303426,0.008509937894287242
0.013310363862940617,0.03047622907554975,0.010374689432290444,-0.004030442,-0.021920943,-0.000606054,-0.002817962,-0.131274522,0.0012790302159685484
0.009125297569845543,-0.027123755,-0.085875357,-0.007236399,-0.02419182,-0.000332461,-0.004028605,0.09876345358908067,-0.000194205
-0.002323969,0.0409312143297104,0.02234067018184323,0.039391190112219664,-0.022576371,-0.000326701,0.05039895526723878,-0.082219951,0.0045714924278638085
0.012997082648605796,0.047258686201556745,-0.021635101,-0.001941088,-0.017894528,-0.000380945,-0.001679382,0.07112905624169563,0.0005676154642781339
-0.007382549,-0.103613413,0.010285682979378432,-0.026391827,0.038064361436706044,-0.000645659,-0.003731925,-0.193740408,0.0012464663509179057
0.004914705649666767,0.01585027028948547,0.01660252908261184,0.01648064366975674,0.05262799691531902,0.00039639484545123105,0.024142988305789988,-0.180608475,-0.002312779
