Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology,label
313.5679932,1581,13.2666998,959.8049927,2,0,2,0.156661,2,1
261.3469849,2210,21.1935997,846.3770142,1,0,0,0.424817,2,0
80.417099,1771,18.0235004,795.8800049,0,0,0,0.362608,4,1
90,1634,16.2602005,982.0319824,0,0,0,0.159295,2,1
12.1715002,1886,12.2644997,1238.51001,0,0,0,0.279459,2,1
202.3800049,1467,24.6844006,1132.910034,0,0,0,0.235825,4,1
119.8460007,1478,16.3323002,955.0739746,3,1,0,0.403827,2,1
110.5559998,1582,12.0572004,744.901001,0,0,3,0.151753,2,1
104.0360031,1988,3.9310999,867.4689941,0,0,0,0.31698,2,1
59.8264999,1937,11.7086,1021.98999,0,0,0,0.344058,2,1
267.5100098,2160,20.9916,886.1690063,1,0,0,0.552742,4,0
248.7200012,1815,23.0156002,805.598999,4,0,0,0.487922,3,1
256.7590027,1973,8.2804298,841.1149902,1,0,0,0.120886,2,1
102.4069977,1136,23.1046009,853.2890015,0,0,0,0.4324,2,0
234.0579987,1934,22.3780003,747.5020142,0,0,0,0.565027,4,0
116.9960022,1705,13.9195995,775.8140259,0,0,1,0.328559,2,1
147.9949951,1481,8.9356298,766.1459961,0,2,4,0.487853,3,1
282.8479919,1533,25.9752007,1073.650024,0,0,0,0.396574,2,1
158.8190002,1867,35.5635986,794.1699829,0,0,0,0.403066,3,0
167.470993,1459,21.0142002,969.0570068,2,0,0,0.314423,2,0
169.5090027,1341,29.7723007,1151.670044,2,0,0,0.398567,4,1
59.0362015,2163,12.3341999,876.8109741,0,0,1,0.469785,2,0
153.4349976,1963,6.3793702,840.9260254,0,0,0,0.216634,2,0
349.9389954,2087,27.6875992,825.1459961,0,1,0,0.258572,3,1
257.3299866,1708,28.8509998,1174.040039,4,0,0,0.293672,2,1
118.9509964,1190,24.1133995,726.7089844,4,0,4,0.203065,4,1
3.3664601,1804,4.05866,833.7769775,4,3,0,0.475836,3,0
57.6651001,1625,28.2586994,956.7280273,0,0,0,0.495369,4,0
41.7845001,1455,27.7113991,1201.310059,0,0,0,0.479492,2,0
226.7359924,1707,21.2604008,1163.630005,0,0,1,0.2389,2,0
178.5310059,1279,9.2328701,770.1989746,0,0,1,0.205736,2,0
60.7512016,2093,25.5268993,1066.839966,0,0,0,0.62003,2,0
