Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology,label
286.3900146,1762,16.4536991,1023.640015,1,0,1,0.219408,2,1
181.3480072,1799,35.3186989,843.0479736,0,0,0,0.453756,2,0
317.1610107,1986,17.3554993,791.3380127,0,0,0,0.487265,4,0
153.2960052,1661,37.5811996,795.15802,0,0,0,0.432651,4,1
327.9949951,1407,8.9356298,912.7789917,4,0,0,0.371522,4,1
348.6900024,2021,15.4399996,862.6300049,0,0,0,0.387455,2,0
147.0950012,1963,18.6481991,835.6359863,1,0,0,0.329648,3,1
83.2901993,2020,8.1181202,841.3339844,0,0,0,0.465497,2,0
118.9800034,962,31.7656002,908.585022,0,0,0,0.303124,2,0
206.5650024,1666,5.3228502,1016.299988,2,0,0,0.491559,2,1
151.7980042,1304,33.1225014,956.4970093,0,0,0,0.450105,4,0
167.0820007,1560,42.9817009,767.3540039,2,0,0,0.16664,4,1
91.6682968,2028,23.2362003,835.9160156,0,0,0,0.462914,2,0
319.4849854,1919,16.7751007,818.8150024,3,0,0,0.339135,2,1
228.2700043,1912,11.6717997,840.9039917,0,0,0,0.281781,2,1
224.2259979,1597,23.5615005,782.0650024,2,0,0,0.202963,4,1
231.3399963,1743,20.4813995,843.5200195,0,0,0,0.451537,3,0
317.6629944,1554,14.2330999,914.3870239,0,0,0,0.116038,2,1
99.4623032,1754,2.9018199,776.8759766,4,0,0,0.361774,3,0
127.6480026,1870,10.4359999,867.8729858,0,0,0,0.556681,4,1
246.8009949,752,3.6313901,878.8460083,3,0,0,0.41202,2,0
85.4261017,2064,22.6847992,824.276001,0,0,0,0.495543,3,0
283.3919983,1984,10.198,848.7659912,0,3,0,0.402705,2,0
304.4609985,1435,37.7106018,1014.880005,0,0,0,0.397815,4,0
228.8139954,1530,14.8825998,989.1459961,0,0,0,0.336056,2,0
264.8770142,986,31.2406006,824.5839844,0,0,0,0.324354,2,0
41.1859016,2196,10.0467997,801.0700073,0,0,0,0.278579,4,1
305.5379944,1518,4.1002898,721.9400024,0,0,2,0.309515,4,1
20.5960007,1588,34.9471016,780.4210205,0,2,2,0.490937,3,0
70.8664017,1202,23.3745003,676.46698,0,0,3,0.415909,4,1
358.3150024,848,15.8256998,955.8579712,1,3,0,0.48171,3,1
32.1957016,2244,21.7434006,882,2,2,0,0.515828,3,0
